epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.26706671714782715,0.0010000000474974513,3.3373684883117676,0.20488721132278442,3.4981791973114014
1,0.35894638299942017,0.0010000000474974513,2.542724370956421,0.4309210479259491,2.0889034271240234
2,0.4369544982910156,0.0010000000474974513,2.0562894344329834,0.1898496299982071,2.3747191429138184
3,0.49657106399536133,0.0010000000474974513,1.8906793594360352,0.18867480754852295,2.3787121772766113
4,0.5213528871536255,0.0010000000474974513,1.8777010440826416,0.4445488750934601,1.957095980644226
5,0.565071702003479,0.0010000000474974513,1.909568428993225,0.2523496150970459,2.4644277095794678
6,0.5979582071304321,0.0010000000474974513,1.9554723501205444,0.19078947603702545,3.322960615158081
7,0.6200124621391296,0.0010000000474974513,2.063178777694702,0.6047932505607605,1.9720892906188965
8,0.651106595993042,0.0010000000474974513,2.1388916969299316,0.26644736528396606,3.772688627243042
9,0.695215106010437,0.0005000000237487257,1.8372951745986938,0.4379699230194092,2.361562967300415
10,0.7153210639953613,0.0005000000237487257,1.9095332622528076,0.48942670226097107,2.6141884326934814
11,0.7289588451385498,0.0005000000237487257,2.089020252227783,0.30686089396476746,3.348139762878418
12,0.7648846507072449,0.0005000000237487257,2.185417413711548,0.5133928656578064,3.098567485809326
